	MUMSA GA  PSO  DE  GA-DE BAS
r_1	79.516068	79.981513	52.535162	54.360893	80	71.8681225
r_2	9.723973	9.109993	8.687886	8.683351	8.42032	9.2618623
r_3	45.842524	72.936511	36.155078	34.318634	51.3426	44.4542963
r_4	51.43848	80	80	79.996171	42.4532	43.0533508
r_p	8.7289390	0	1.481055	1.4652500	10.65304038	8.7820722
\theta_p	-0.34522635	0	1.570796	1.5706687	2.646544795	1.6362575
\theta_0	5.5969445	0.026149	1.403504	2.12965	4.28177	1.6011655
x_0	2.021109	10.155966	11.002124	10.954397	5.53372	16.7540360
y_0	13.2165878	10	11.095585	11.074534	0.477183	15.2986682
\theta_2^1	0.6376873	6.283185	6.282619	6.283185	2.0935	0.1258416
\theta_2^2	1.3255329	0.600745	0.615302	0.616731	2.81291	0.8167208
\theta_2^3	2.0080339	1.372812	1.305421	1.310254	3.51605	1.5351326
\theta_2^4	2.6955659	2.210575	2.188053	2.19357	4.20638	2.1811489
\theta_2^5	3.3845794	2.862639	2.913049	2.91717	4.89051	2.8753839
\theta_2^6	4.08293762	3.420547	3.499313	3.490746	5.57398	3.5728072
\theta_2^7	4.79845482	4.072611	4.125586	4.132017	6.26458	4.2854058
\theta_2^8	5.51170565	4.910373	4.919977	4.922075	0.676198	5.0016208
\theta_2^9	6.2127919	5.68244	5.685021	5.695372	1.38307	5.7133417
\theta_2^{10}	0.6371866	6.283185	6.282323	6.28297	2.09348	0.1258290
Error	0.0047	2.281273	1.971004	1.952326	6.02203e-4	4.25178863e-4
