	PSO HPSO GA MUMSA GA-DE MKH BAS
r_1	2.9261	2.8500	3.057878	 4.453772	47.4379	1.00429	1.05418035
r_2	0.4877	0.3700	0.237803	0.297057	0.32477	0.42180	0.42387110
r_3	2.9099	2.9048	4.828954	3.913095	0.472857	0.87821	0.91456398
r_4	2.1503	0.50000	2.056465	0.849372	47.3093	0.58013	0.59887058
r_p	1.493947	1.973700	2.0034749	2.65198329	0.3412513	0.52339996	0.54502679
\theta_p	-0.332546	1.027396	1.1779128	2.46473399	-1.2153827	0.81477285	0.82274686
\theta_0	0.7190	0.7600	1.002168	2.7387359	3.32029	0.29294	0.28503982
x_0	-0.3846	0.9400	1.776808	-1.309243	0.526988	0.26886	0.26769980
y_0	-0.6752	-1.1712	-0.641991	2.806964	0.72393	0.17715	0.15442718
\theta_2^1	0.2159	0.5134	0.226186	4.853543	3.51233	0.88595	1.17641134
Error	0.0492	0.01110	0.0337	0.0196	1.08613e-2	0.00911	9.02888627e-3
